ranking,ranking_chg,name_zh,name_en,valuation,key_person,headquarter,industry,investors
54,1↓,英雄互娱,Hero Entertainment,100,应书岭,北京,游戏,华谊兄弟、红杉资本、真格基金
54,1↓,优客工场,UrWork,100,毛大庆,北京,互联网服务,真格基金、红杉资本
54,1↓,找钢网,Zhaogang,100,王东,上海,电子商务,IDG、经纬中国、红杉资本、真格基金
54,50↑,知乎,Zhihu,100,周源,北京,互联网服务,今日资本、启明创投、腾讯
54,1↓,猪八戒网,Zbj,100,朱明跃,重庆,互联网服务,赛伯乐、IDG
99,New,1919酒类直供,1919 Wines & Spirits,70,杨陵江,成都,新零售,阿里巴巴、天弘基金、中信证券
99,5↑,58到家,Daojia,70,姚劲波,北京,互联网服务,阿里巴巴、KKR、平安创投
99,5↑,DotC United,DotC United,70,石一,上海,互联网服务,高榕资本、光速中国、晨兴资本
99,5↑,Itutorgroup,Itutorgroup,70,杨正大,北京,教育,启明创投、GIC、高盛
99,New,Momenta,Momenta,70,曹旭东,北京,人工智能,腾讯、真格基金、顺为资本
99,31↑,V领地,V Linker,70,周君强,上海,房产服务,华平投资
99,7↓,阿里体育,Alisports,70,张勇,上海,文化娱乐,云峰基金、太平资产
99,New,艾佳生活,Ihomefnt,70,潘定国,南京,互联网服务,天图资本、达晨创投、正和岛基金
99,New,安翰医疗,Ankon,70,吉朋松,上海,医疗健康,软银中国、大中投资
99,7↓,安能物流,Ane,70,王拥军,上海,物流服务,红杉资本、凯雷投资、高盛
99,31↑,奥比中光,Orbbec,70,黄源浩,深圳,人工智能,蚂蚁金服、赛富投资、松禾资本
99,5↑,贝贝网,Beibei,70,张良伦,杭州,电子商务,IDG、北极光创投、今日资本
99,31↑,波奇网,Boqii,70,唐颖之,上海,电子商务,高盛、集富亚洲、点亮资本
99,31↑,车猫二手车,Chemao,70,黄巍,杭州,互联网服务,浙富控股、元璟资本
99,31↑,车易拍,Cheyipai,70,杨雪剑,北京,电子商务,北汽产业投资、经纬中国、晨兴资本
99,31↑,车置宝,Chezhibao,70,黄乐,南京,互联网服务,九鼎资本、毅达资本
99,New,出门问问,Mobvoi,70,李志飞,上海,人工智能,真格基金、红杉资本、SIG
99,5↑,春雨医生,Chunyuyisheng,70,李光辉,北京,医疗健康,蓝驰创投、贝塔斯曼、中金公司
99,31↑,点融网,Dianrong,70,苏海德,上海,互联网金融,老虎环球基金、北极光创投、GIC
99,31↑,丁香园,Dxy,70,李天天,杭州,互联网服务,顺为资本、DCM、腾讯
99,5↑,返利网,Fanli,70,葛永昌,上海,电子商务,SIG、启明创投、乐天
99,5↑,房多多,FangDD,70,段毅,深圳,房产服务,嘉御基金、光速中国、鼎晖创投
99,31↑,纷享销客,Fxiaoke,70,罗旭,北京,互联网服务,DCM、北极光创投、IDG、高瓴资本
99,7↓,丰巢科技,Fcbox,70,王卫,深圳,物流服务,顺丰速运、鼎晖投资、国开金融
99,31↑,富途证券,Futu,70,李华,深圳,互联网金融,红杉资本、经纬中国、腾讯
99,New,高顿,Gaodun,70,李锋,上海,教育,前程无忧
99,7↓,好大夫在线,Haodf,70,王航,北京,医疗健康,挚信资本、崇德投资、DCM中国
99,New,好享家,Hosjoy,70,汪建国,南京,互联网服务,德同资本、方正和生、富坤投资
99,5↑,沪江,Hujiang,70,伏彩瑞,上海,教育,汉能投资、软银、顺为资本
99,7↓,华云数据,Huayun,70,许广彬,无锡,大数据与云计算,SIG、Intel Capital、海通开元
99,New,辉能科技,Prologium,70,楊思枏,台北,新能源,丹丰资本、软银中国资本
99,New,慧科教育,Huikedu Group,70,方业昌,北京,教育,泛海控股、复星锐正资本
99,31↑,基石药业,Cstone,70,江宁军,苏州,医疗健康,GIC，红杉资本、云锋基金
99,31↑,集奥聚合,Geo,70,崔晶晶,北京,大数据与云计算,金沙江创投、新浪、亚信联创
99,31↑,玖富,9fgroup,70,孙雷,北京,互联网金融,晨兴资本、DCM、SIG
99,67↓,酒仙网,JiuXian,70,郝鸿峰,北京,电子商务,红杉资本、东方富海
99,31↑,卷皮,Juanpi,70,黄承松,广州,电子商务,天图资本、招银国际、浙江金控
99,New,客路旅行,KLOOK,70,王志豪,香港,互联网服务,红杉资本、经纬中国、高盛
99,31↑,辣妈帮,Lamabang,70,金赞,深圳,互联网服务,经纬中国、晨兴资本
99,New,老虎证券,Tiger,70,巫天华,北京,互联网金融,真格基金、
99,New,连连数字,Lianlian,70,章征宇,杭州,互联网金融,红杉资本、光大实业、赛伯乐
99,New,联易融,Linklogis,70,宋群,深圳,互联网金融,腾讯、泛海投资、中信资本
99,New,零氪科技,Linkdoc,70,张天泽,北京,大数据与云计算,中投公司
99,5↑,罗辑思维,Luojilab,70,罗振宇,北京,文化娱乐,顺为资本、启明创投、真格基金、红杉资本、腾讯
99,7↓,罗计物流,Loji,70,宋睿,北京,物流服务,IDG、真格基金
99,New,脉脉,Maimai,70,林凡,北京,互联网服务,DST、IDG、晨兴资本、DCM
99,New,明码生物,WuXi NextCODE,70,李革,上海,医疗健康,红杉资本，淡马锡、云锋基金
99,5↑,魔方公寓,Mofang,70,葛岚,上海,房产服务,中航信托、华平投资、德同资本
99,5↑,诺禾致源,Novogene,70,李瑞强,北京,医疗健康,招银国际、国投创新、方和资本
99,31↑,人人车,Renrenche,70,李健,北京,互联网服务,高盛、腾讯、滴滴、顺为资本
99,5↑,人人贷,Renrendai,70,杨一夫,北京,互联网金融,挚信资本
99,New,瑞幸咖啡,Luckin,70,钱治亚,北京,新零售,大钲资本、愉悦资本、GIC、君联资本
99,31↑,神州细胞工程,Sinocelltech,70,谢良志,北京,医疗健康,启明创投
99,5↑,首汽约车,Shouqi,70,魏东,北京,互联网服务,百度、蔚来资本
99,5↑,数梦工厂,Dtdream,70,吴敬传,杭州,大数据与云计算,阿里巴巴、银杏谷资本
99,5↑,碳云智能,Icarbonx,70,王俊,广州,医疗健康,天府集团、鑫根资本
99,5↑,腾云天下,TalkingData,70,崔晓波,北京,大数据与云计算,软银中国、麦顿投资、北极光创投
99,31↑,同盾科技,Tongdun,70,蒋韬,杭州,大数据与云计算,IDG、华创资本、宽带资本、启明创投
99,New,挖财,Wacai,70,李治国,杭州,互联网金融,新天域资本、光信资本、IDG、启明创投
99,5↑,万能钥匙,WiFi Master key,70,陈大年,上海,互联网服务,海通开元、北极光创投
99,5↑,网易有道,Youdao,70,周枫,北京,互联网服务,君联资本、慕华投资
99,7↓,网易云音乐,NetEase Music,70,朱一闻,杭州,文化娱乐,SMG
